Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/22/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"This company 's offer was not clear. 

This account was opened in XX/XX/XXXX through a tire purchasing service. There was an offer to help build credit and finance for a tire purchase. The tire purchase totalled {$1000.00} with an early payoff period of 100 days. I was granted a standard credit limit of {$2000.00}. What they did not relay was they would charge a 200 % "" leasing fee '' at the time of the purchase. It was relayed that it would be standard percentage finance fees up to 34 %. 

On XX/XX/XXXX I contacted to inquire why the balance was so high with such a significant amount being paid off. The total amount paid on the account as of XX/XX/XXXX is {$1400.00}. That's {$420.00} over the amount originally financed. 

The representative claimed that there was a "" leasing fee '' of {$1900.00} on the account. They claim after the 100 day period they would discount the leasing fee by 55 % but capped my account discount at {$560.00} which is less than the 55 %. Then charged an additional sales tax of 6 % on top of the tires that was already charges sales tax for the total amount and the "" leasing fee. '' The account has had a total amount paid {$1400.00}. When I called to figure out why the account has a balance of {$1100.00} when the total amount paid is far exceeding the total amount financed, it's this now called "" leasing fee. '' When I said this was not explained that the rate at which we took for the purchase was a percentage like a standard loan was converted to a 200 % leasing fee. 

I did my research and I went ahead and took a look at the process with another individual and the business does not describe there is a 200 % lease fee, it shows as a standard purchasing loan process with a percentage of up to 34 % not 200 %. No one in their right mind would agree to a 200 % fee of what they were purchasing especially in an economy like we have. 

This is unethical practices in every capacity. It is misleading. I would not do business with this company again nor recommend anyone else do business with them. It is a requirement to fully disclose all fees, expenses associated with a loan of any kind. They are basically a loan shark.",None,"American First Finance, Inc.",GA,30040,Servicemember,Consent provided,Web,03/22/23,Closed with monetary relief,Yes,N/A,6731964
05/19/23,"Payday loan, title loan, or personal loan",Personal line of credit,Getting a line of credit,None,"My credit line amount is {$1400.00}. My original withdrawal was {$1400.00}. In XXXX of XXXX  my balance was {$1400.00}. The fees and biking charges are {$85.00} each bi-weekly period. According to the Truth in Lending act there needs to be a break down on the statement of the amount of interest you are charging. I see in the farms and conditions I am signing say billing cycle charge can not be waived. Credit Fresh is in violation of the Truth in Lending act by not having a proper break down of the total number of payments. The withdraws dont even show a date on the statement, annuals percentage rate, and security interest disclosures.

Credit fresh is using aggressive tactics and unfair loan termssuch as high interest rates and feesto take advantage of unsuspecting borrowers. Credit Fresh is going after the most vulnerable and least knowledgeable borrowers Regulation Z is a Federal Reserve Board rule that requires lenders to give you the true cost of credit in writing before you borrow. That includes spelling out the amount of money loaned, the interest rate, APR, finance charges, fees and length of loan terms. An unlawful loan may also be some form of credit or loan that disguises its true cost or fails to disclose relevant terms regarding the debt or information about the lender. This sort of loan is in violation of the Truth in Lending Act ( TILA ).

My complaint is that it is taking advantage of me if my new credit balance is {$1500.00}. My booking charges in two months amount of two {$420.00} and the credit amount to my actual balance is {$98.00}. That is a total of {$520.00} paid year to date with {$98.00} not yet posted to the account as of today XXXX XXXX Credit Fresh not providing proper breakdown of payment schedule, interest rates and fees enticed and misled into me taking out a loan that carries higher fees than my risk profile warrants or that I are unlikely to be able to pay back.",None,Credit Fresh Holdings Inc,AL,35020,None,Consent provided,Web,05/19/23,Closed with explanation,Yes,N/A,7001995
03/22/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"At XXXX on XX/XX/2023, I spoke with a representative, XXXX XXXX in the collections department at Upgrade , Inc . I agreed to pay off the remaining balance of the loan in the amount of {$830.00} with the explicit conditions that the account would be closed out and that the account would be reported as being no later than 30 days past due to credit reporting agencies ( and under the condition that a {$10.00} late fee be refunded to me after payment cleared ). As of XX/XX/2023, the Upgrade account still shows as open and having a balance of {$300.00} despite my payment posting on XX/XX/XXXX. Additionally, it appears that the Upgrade account was indeed reported as being 60 days late according to my XXXX and XXXX reports. I sent an email to XXXX XXXX XXXX  on XX/XX/XXXX asking the company to confirm that my payment posted and that the account would be closed- they did not provide any useful information. This is a blatant violation of the agreement I made over the phone with the collections representative at the above-specific date and time. I am demanding that Upgrade close the account, rescind the 60 days past due status, and issue a {$10.00} refund as agreed upon when I made the payment on XX/XX/XXXX.",None,"UPGRADE, INC.",NY,10552,None,Consent provided,Web,03/22/23,Closed with explanation,Yes,N/A,6725952
01/10/23,"Payday loan, title loan, or personal loan",Personal line of credit,Getting a line of credit,None,"ood afternoon! I must say I am very frustrated with THESE COMPANIES. I have been trying to get a loan with THEM for years. Even when I had a XXXX to XXXX XXXX XXXX, I could never get loans with you. I have been wondering for many years that maybe it's just me and maybe it's my credit. I have been going years and years with disputing things off my credit and getting my credit as high as ever. I have done everything to try to make my credit manageable, and I have still BEEN turned down for a loan every time. So now we are gon na do things my way! Let me inform your company of some Laws protecting consumers. XXXX cfr part XXXX talks about the Equal Credit Opportunity Act. Consumers by law can not be denied credit. By law you all can not deny me credit transactions for any applications. Please see the screenshots below I am a CREDIT WORTHY APPLICANT. Individual accounts can not by law deny me credit. This is DISCRIMINATION. I have many adverse action letters even from when my credit was even in the mid XXXX and I was still getting denied. So it makes me think who is responsible for this, the credit bureaus or your company.. Please refer to the other screenshot below. Adverse actions are illegal amongst consumers. Adverse action : ( ii ) does not include ( I ) information solely as to "" transactions '' or experiences between the consumer and the person furnishing the information; or ( II ) information in a consumer report. These are transactions that I have applied for for years and I was turned down everytime. This is {$1000.00} per violation if I pursued this towards court. This is 15 u.s. 1681m. Please view that as your company has broken this law and has resulted in me being denied for credit over and over. My SSN is my credit card which has been unauthorized by your company, bureaus etc. So you all can make money off my ssn but I can't benefit from credit transactions which are illegal!! Loans, Mortgage, car notes etc are extensions of credit transactions! There is civil liability for violation of these laws! Please see 15 usc XXXX. I posted the screenshot below I have been denied credit from you for years and I refuse to be denied again. Please forward this to your manager or corporate and have them contact me immediately! I want a loan of {$50000.00} or higher. I deserve that amount for all the years of frustration your company has caused me!!! I also want to get some credit cards to improve my credit asap! Please don't make me go to higher authorities and take you to court like I may soon do with the credit bureaus. If I take you to court, I have consumer rights attorneys waiting for a case like this. Keep in mind, this is {$1000.00} per violation and I have years worth of denial letters from you so you do the math Thanks! XXXX XXXX",None,"Happy Money, Inc.",IL,60620,None,Consent provided,Web,01/10/23,Closed with explanation,Yes,N/A,6421822
01/20/23,"Payday loan, title loan, or personal loan",Pawn loan,Charged fees or interest you didn't expect,None,"I have two incidents. I bought a car and the XXXX pay off my personal loan, they said Wells Fargo, that they did not received the money yet. Do they charge me some fees. The other loan I pay off before and they did not deducted interest or for paying ahead. Thanks you",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,32312,None,Consent provided,Web,01/20/23,Closed with explanation,Yes,N/A,6463806
03/21/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"This is a case where XXXX XXXX and UAS are trying to profit from a contract that the legality of it is being challenge in court, at this moment it is working its way through the court system. On XXXX XXXX, 2023 I received an e-mail from XXXXXXXX XXXX  that my loan was being transfered to UAS, Universal Accounting Service XXXX XXXX XXXX, XXXX, MD XXXX, ( XXXX ) XXXX. I have made several calls to XXXX XXXX, the first lender asking about the interest free clause in the contract, the balance of the loan and the XXXX XXXXXXXX XXXX payment due. I was told the interest free clause would remain in effect, the loan balance was XXXX XXXX and XXXX dollars and XXXX XXXX cents. However on the payment that was due on XXXX, XXXX XXXXXXXX XXXX told me if I made that payment to XXXX XXXX and by the time they process the payment and sent it to UAS it would be late and I would accumulate a late fee, they told me to call them and ask about the payment and if the due date would remain the same. I called Universal Accounting Service several time but they never answered the phone and after several rings the call would disconnect. On XXXX XXXX XXXX  I called UAS and a representative named XXXX answered and informed me that they had no information on the account. On XXXX XXXX, XXXX  I was finally able to get information on the account and to my surprise my balance was {$18000.00} with a payment of {$880.00}. The first lender claims that they only transferred {$16000.00} to Universal Accounting Service. Universal Accounting Service claim that the transfer was actually {$18000.00}. I have been unable to resolve this matter with UAS and it is useless to continue discussing this matter with them.",Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Universal Account Servicing, LLC",TX,78228,"Older American, Servicemember",Consent provided,Web,04/12/23,Closed with explanation,Yes,N/A,6727200
03/21/23,"Payday loan, title loan, or personal loan",Title loan,Charged fees or interest you didn't expect,None,"I took a title Loan with Mariner Finance in XXXX of 2021, it was a loan for {$5000.00} dollars. 
I was under the impression that my vehicle would be used as collateral if the loan wasnt paid off. But this company has put themselves on my auto as a second lender! Also, I was told that the payback amount on this {$5000.00} loan would be {$6000.00} by paying {$190.00} by weekly! I committed to my payback obligations for over a year and was making my payments on time. I even made a lump sum pay of {$1800.00} dollars to get the loan down. I then contacted the company because I could not access my payments or balance amount on their website. At which time I was told I had a {$4000.00} dollar Balance!! HOW I asked, and thats when I was told this is an interest based loan and the amount increased over time due to interest. I have since stopped making payments on this scam and I am constantly being harassed by the company. I have attempted to make a deal with these people and showed them that the debt is actually satisfied. I need help with this Matter because I truly feel it is a scam.",None,"MARINER FINANCE, LLC",MD,20785,None,Consent provided,Web,03/21/23,Closed with explanation,Yes,N/A,6728607
03/31/23,"Payday loan, title loan, or personal loan",Installment loan,Problem when making payments,None,I was shocked when reviewing my credit report and found late payments on the dates below : 30 days late as of XX/XX/2022 and 60 days late as of XX/XX/2022 I am not sure how this happened. I believe I made my payments to you when I received my statements. My only thought is that my statement did not get to me.,None,"Affirm Holdings, Inc",PA,19380,None,Consent provided,Web,03/31/23,Closed with explanation,Yes,N/A,6779988
02/08/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"Hello, After signing my lease I have been in contact multiple times trying to respond to customer service and received no response to help assist with a reasonable payment plan. For several weeks I made on-time payments, then when changing jobs notified koalifi I missed a payment because my weekly paychecks were transferred to monthly checks. Instead of a reasonable customer service agent reaching out to help get me back on track, I was told my missed payment now made me ineligible for a 90-day payoff and the interest on my loan was doubled and reported to the credit bureaus. I purchased {$2800.00} of furniture and made several payments over {$100.00}. My balance currency shows I now owe Koalifi over {$5000.00} and the cost of my loan has more than doubled. This is unacceptable and under the guidelines of the FTC and predatory lending regulations. When I signed off on my purchase at the store no one explained the cost of loan would more than double and destroy my credit.",None,Westcreek Financial,WA,985XX,None,Consent provided,Web,02/08/23,Closed with monetary relief,Yes,N/A,6548771
07/08/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"In XX/XX/2023, I was looking for a loan and found credit ninja online. I read some of the information and went through the verification process. I am currently working XXXX so the internet was not that great. I went through the prompts of verification with my bank. I clicked the prompts and it kept refreshing and assumed it didnt go through. Then the next day funds were deposited. I couldnt return them and they have been withdrawn if money from my account. I want a payoff but they want to charges me XXXX extra on a XXXX loan where I have already paid {$600.00}. I am about to close my bank account to them. I attempted to reach the company to cancel the loan and received no response and tried calling the number on the website.",None,"CreditNinja Lending, LLC",AE,XXXXX,Servicemember,Consent provided,Web,07/08/23,Closed with explanation,Yes,N/A,7222225
